repo,doi,pmid,grant_funded,funding_sources,num_linked_grants,num_developer_grants,num_collaborator_grants,developer_project_nums,developer_core_nums,developer_orgs,developer_org_states,developer_agencies,developer_cost_by_currency,developer_cost_usd,all_org_names,all_agencies,total_cost_by_currency,total_cost_usd,earliest_project_start,latest_project_end,note
kukionfr/VAMPIRE_open,10.1038/s41596-020-00432-x,33424024,True,NIH,5,0,5,,,,,,,,JOHNS HOPKINS UNIVERSITY,NCI; NIA,USD:3401573,3401573.0,2003-06-01T00:00:00,2028-06-30T00:00:00,OK
kylejgillett/sounderpy,10.21105/joss.08087,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lanl/fiducia,10.1063/5.0002856,32752842,True,Other,4,3,1,89233218CNA000001; DE-NA0003856; DE-FC52-08NA28302,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
larq/larq,10.21105/joss.01746,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
LarsonLab/hyperpolarized-mri-toolbox,10.1002/nbm.4280,32189442,True,NIH; Other,8,1,7,3U01EB026412-05S1,U01EB026412,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,NIBIB,USD:250000,250000.0,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",NCI; NIBIB; Other,USD:4347933,4347933.0,2007-07-01T00:00:00,2030-08-31T00:00:00,OK
lasse2507a/Compressed-Real-Time-Voice-Activity-Detection-with-Open-Source-Implementation-for-Small-Devices,10.1145/3615834.3615835,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lcpp-org/RustBCA,10.21105/joss.03298,,True,Other,1,0,1,,,,,,,,,Other,,,,,OK
LearnLib/alex,10.1007/978-3-319-47169-3_51,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
LearnLib/automatalib,10.1007/978-3-030-00244-2_15,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
LearnLib/learnlib,10.1007/978-3-031-98685-7_7,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lefterisloukas/edgar-crawler,10.1145/3701716.3715289,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
LernerLab/GuPPy,10.1038/s41598-021-03626-9,34930955,True,NIH,2,1,1,3DP2MH122401-01S1,DP2MH122401,NORTHWESTERN UNIVERSITY,IL,NIMH,USD:113522,113522.0,NORTHWESTERN UNIVERSITY,NIDA; NIMH,USD:1742297,1742297.0,2018-09-01T00:00:00,2025-06-30T00:00:00,OK
Ligo-Biosciences/AlphaFold3,10.1101/2022.11.20.517210,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lindawangg/COVID-Net,10.1038/s41598-020-76550-z,33177550,False,,0,0,0,,,,,,,,,,,,,,Not in NIH RePORTER
lintool/warcbase,10.1145/2567948.2579045,,True,Other,1,1,0,IIS-1144034 and IIS-1218043,,,,Other,,,,Other,,,,,OK
LizzyParkerPannell/Untargeted_metabolomics_workflow,10.20944/preprints202302.0056.,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lnis-uofu/OpenFPGA,10.1109/MM.2020.2995854,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
Loop3D/LoopStructural,10.5194/gmd-14-3915-2021,,True,Other,1,1,0,LP170100985,,Monash University,,Other,AUD:750329,,Monash University,Other,AUD:750329,,2018-01-01 00:00:00,2024-06-30 00:00:00,OK
lulujianjie/person-reid-tiny-baseline,10.1109/CVPRW.2019.00190,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
lxaw/DataDock,10.1007/978-3-031-85856-7_23,,False,,0,0,0,,,,,,,,,,,,,,PMID not found and no local snapshot grants
MaayanLab/Knowledge-Graph-UI,10.1002/cpz1.70200,40956607,True,NIH,5,2,3,3U24CA271114-04S1; 5R01DK131525-05,U24CA271114; R01DK131525,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,NCI; NIDDK,USD:782139,782139.0,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NCI; NIDDK; OD,USD:4657057,4657057.0,2020-09-23T00:00:00,2028-09-17T00:00:00,OK
mad-lab-fau/carwatch-python,10.1016/j.psyneuen.2023.106073,36868094,True,Other,2,2,0,ES 434/8-1; SFB 1483 \u2013 Project-ID 442419336,,,,Other,,,,Other,,,,,Not in NIH RePORTER (non-NIH funder via local snapshot)
